Timestamp,Distance (cm),time_diff (s),Speed (cm/s)
2024-07-12 10:00:32,77,0.1,50
2024-07-12 10:00:32,81,0.099,40.404
2024-07-12 10:00:32,87,0.1,60
2024-07-12 10:00:32,92,0.099,50.5051
2024-07-12 10:00:32,96,0.1,40
2024-07-12 10:00:32,101,0.1,50
2024-07-12 10:00:32,106,0.1,50
2024-07-12 10:00:33,111,0.1,50
2024-07-12 10:00:33,116,0.099,50.5051
2024-07-12 10:00:33,118,0.1,20
2024-07-12 10:00:33,117,0.1,-10
2024-07-12 10:00:33,112,0.099,-50.5051
2024-07-12 10:00:33,105,0.1,-70
2024-07-12 10:00:33,98,0.099,-70.7071
2024-07-12 10:00:33,90,0.1,-80
2024-07-12 10:00:33,83,0.1,-70
2024-07-12 10:00:33,77,0.1,-60
2024-07-12 10:00:34,71,0.099,-60.6061
2024-07-12 10:00:34,65,0.101,-59.4059
2024-07-12 10:00:34,59,0.099,-60.6061
2024-07-12 10:00:34,54,0.099,-50.5051
2024-07-12 10:00:34,50,0.1,-40
2024-07-12 10:00:34,48,0.099,-20.202
2024-07-12 10:00:34,49,0.099,10.101
2024-07-12 10:00:34,53,0.099,40.404
2024-07-12 10:00:34,60,0.1,70
2024-07-12 10:00:34,69,0.099,90.9091
2024-07-12 10:00:35,80,0.101,108.911
2024-07-12 10:00:35,92,0.099,121.212
2024-07-12 10:00:35,101,0.099,90.9091
2024-07-12 10:00:35,101,0.099,0
2024-07-12 10:00:35,91,0.1,-100
2024-07-12 10:00:35,77,0.1,-140
2024-07-12 10:00:35,63,0.099,-141.414
2024-07-12 10:00:35,55,0.1,-80
2024-07-12 10:00:35,57,0.099,20.202
2024-07-12 10:00:35,69,0.1,120
2024-07-12 10:00:36,86,0.1,170
2024-07-12 10:00:36,100,0.1,140
2024-07-12 10:00:36,102,0.099,20.202
2024-07-12 10:00:36,93,0.101,-89.1089
2024-07-12 10:00:36,77,0.099,-161.616
2024-07-12 10:00:36,61,0.099,-161.616
2024-07-12 10:00:36,52,0.1,-90
2024-07-12 10:00:36,56,0.1,40
2024-07-12 10:00:36,72,0.1,160
2024-07-12 10:00:36,91,0.099,191.919
2024-07-12 10:00:37,105,0.101,138.614
2024-07-12 10:00:37,107,0.099,20.202
2024-07-12 10:00:37,99,0.1,-80
2024-07-12 10:00:37,82,0.099,-171.717
2024-07-12 10:00:37,63,0.1,-190
2024-07-12 10:00:37,49,0.099,-141.414
2024-07-12 10:00:37,48,0.101,-9.90099
2024-07-12 10:00:37,60,0.099,121.212
2024-07-12 10:00:37,80,0.1,200
2024-07-12 10:00:37,98,0.1,180
2024-07-12 10:00:38,108,0.1,100
2024-07-12 10:00:38,106,0.099,-20.202
2024-07-12 10:00:38,92,0.1,-140
2024-07-12 10:00:38,72,0.1,-200
2024-07-12 10:00:38,55,0.099,-171.717
2024-07-12 10:00:38,50,0.1,-50
2024-07-12 10:00:38,58,0.1,80
2024-07-12 10:00:38,74,0.099,161.616
2024-07-12 10:00:38,92,0.101,178.218
2024-07-12 10:00:38,106,0.1,140
2024-07-12 10:00:39,107,0.099,10.101
2024-07-12 10:00:39,97,0.099,-101.01
2024-07-12 10:00:39,78,0.1,-190
2024-07-12 10:00:39,61,0.099,-171.717
2024-07-12 10:00:39,50,0.1,-110
2024-07-12 10:00:39,50,0.099,0
2024-07-12 10:00:39,61,0.1,110
2024-07-12 10:00:39,80,0.1,190
